en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	( PERSON2 ) Ja , das ist das einzige , was ich für positive Einschränkungen getan habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	499	(PERSON2) Weil, wie ich glaube, Martin seine <unintelligible/> kleine Übersetzung macht, so übersetzt er mehrere Sätze auf einmal und wählt dann nur den Mittelpunkt und geht so für das gesamte Dokument.	( PERSON2 ) Weil , wie ich glaube , Martin seine < unintelligible / > kleine Übersetzung macht , so übersetzt er mehrere Sätze auf einmal und wählt dann nur den Mittelpunkt und geht so für das gesamte Dokument . <EOS>	OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	500	Der Kontext ist also wie in einem <unintelligible/> zusammen mit dem Satz, den wir tatsächlich übersetzen wollen.	Der Kontext ist also wie in einem < unintelligible / > zusammen mit dem Satz , den wir tatsächlich übersetzen wollen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	501	Ja, ich denke - war es nicht Dominik, der Experimente mit Ivana machte?	Ja , ich denke - war es nicht Dominik , der Experimente mit Ivana machte ? <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	502	Ich denke, das letzte Jahr oder vor zwei Jahren für doppelte leere, wo sie den Kontext besuchten oder die Verbindung des Kontexts mit Eingabe-Satz und machen eine Art von Dokument-Ebene-Übersetzung.	Ich denke , das letzte Jahr oder vor zwei Jahren für doppelte leere , wo sie den Kontext besuchten oder die Verbindung des Kontexts mit Eingabe-Satz und machen eine Art von Dokument-Ebene-Übersetzung . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	503	Aber die Sache ist mit diesem mit der Verknüpfung ist nicht ganz sicher, ob es die gleiche Wirkung hat, wie wir Multi-Encoder-Einstellung	Aber die Sache ist mit diesem mit der Verknüpfung ist nicht ganz sicher , ob es die gleiche Wirkung hat , wie wir Multi-Encoder-Einstellung <EOS>	BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD
en-de	gold	504	(PERSON1) Jeder ist anders, es ist definitiv eine andere Berechnung, ein anderer Anführer, aber ich bin überrascht, dass [Person8] sagt, das funktioniert nicht vollständig.	( PERSON1 ) Jeder ist anders , es ist definitiv eine andere Berechnung , ein anderer Anführer , aber ich bin überrascht , dass [ Person8 ] sagt , das funktioniert nicht vollständig . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	505	(PERSON8) Ja, okay, es tut mir so leid, vielleicht sollte ich korrekter sein, dass es nicht so funktioniert hat, wie ich es getan habe <Lachen/>	( PERSON8 ) Ja , okay , es tut mir so leid , vielleicht sollte ich korrekter sein , dass es nicht so funktioniert hat , wie ich es getan habe < Lachen / > <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	506	(PERSON1) Ja, weil ich denke, es ist eine Methode, die sehr einfach zu testen ist, und es sollte immer im Gegensatz zu den beiden Encodern getestet werden, Und ich würde erwarten, dass es manchmal besser und manch mal schlechter ist als die beiden eingerichteten Encoder, abhängig von der genauen Aufgabe wie was genau ist das zweite Ding, das du kodierst.	( PERSON1 ) Ja , weil ich denke , es ist eine Methode , die sehr einfach zu testen ist , und es sollte immer im Gegensatz zu den beiden Encodern getestet werden , Und ich würde erwarten , dass es manchmal besser und manch mal schlechter ist als die beiden eingerichteten Encoder , abhängig von der genauen Aufgabe wie was genau ist das zweite Ding , das du kodierst . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK BAD OK OK OK OK BAD BAD OK OK
en-de	gold	507	Also, vielleicht, wenn du zwei Kopien hast, zwei Paraphrasen des gleichen Satzes, ist es vielleicht irgendwie verwirrend für die Aufmerksamkeit also was auch immer, ich weiß nicht.	Also , vielleicht , wenn du zwei Kopien hast , zwei Paraphrasen des gleichen Satzes , ist es vielleicht irgendwie verwirrend für die Aufmerksamkeit also was auch immer , ich weiß nicht . <EOS>	OK OK OK OK OK BAD OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	508	Das Verhalten könnte auch anders sein für die alten Sequenz-zu-Sequenzen-Methoden, im Vergleich zum Transformator, also für RNN dann verhielt es sich anders vielleicht mit Transformer ist es ja, es ist schwieriger zu trainieren, so dass Sie vielleicht brauchen, um die Anzahl der Aufwärmungen zu erhöhen, Aufwarm-Sets.	Das Verhalten könnte auch anders sein für die alten Sequenz-zu-Sequenzen-Methoden , im Vergleich zum Transformator , also für RNN dann verhielt es sich anders vielleicht mit Transformer ist es ja , es ist schwieriger zu trainieren , so dass Sie vielleicht brauchen , um die Anzahl der Aufwärmungen zu erhöhen , Aufwarm-Sets . <EOS>	BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD BAD OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK BAD OK BAD
en-de	gold	509	(PERSON2) Ja, also wissen Sie einfach wie...	( PERSON2 ) Ja , also wissen Sie einfach wie ... <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	510	(PERSON8) Ich kann mich nicht erinnern, also weiß ich es nicht genau, aber das ist wie... als ich im Sommer mit diesen Multi-Source-Experimenten begann.	( PERSON8 ) Ich kann mich nicht erinnern , also weiß ich es nicht genau , aber das ist wie ... als ich im Sommer mit diesen Multi-Source-Experimenten begann . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	511	Das erste, womit ich angefangen habe, war die Verknüpfung der Paraphrase und der Quelle und vielleicht kann ich, ich erinnere mich jetzt nicht, bis zur nächsten Sitzung überprüfen, ob ich es auch versucht habe. Ich habe es definitiv versucht, wenn die Quellen in der ersten Position sind, dann ein paar Abgrenzungszeichen und die Parafrase in die zweite Position.	Das erste , womit ich angefangen habe , war die Verknüpfung der Paraphrase und der Quelle und vielleicht kann ich , ich erinnere mich jetzt nicht , bis zur nächsten Sitzung überprüfen , ob ich es auch versucht habe . Ich habe es definitiv versucht , wenn die Quellen in der ersten Position sind , dann ein paar Abgrenzungszeichen und die Parafrase in die zweite Position . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK
en-de	gold	512	Ich könnte auch versucht haben, dass ich die beiden Dinge zufällig gemischt habe, ja, und ich erinnere mich nur, daß es reichlich dieses Kompenetrations-Zeug tat und Multi-Encoder ausprobierte.	Ich könnte auch versucht haben , dass ich die beiden Dinge zufällig gemischt habe , ja , und ich erinnere mich nur , daß es reichlich dieses Kompenetrations-Zeug tat und Multi-Encoder ausprobierte . <EOS>	BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	513	Und es war wahrscheinlich wegen der niedrigen Noten.	Und es war wahrscheinlich wegen der niedrigen Noten . <EOS>	BAD OK OK OK OK OK OK OK OK OK
en-de	gold	514	(PERSON2) <unintelligible/>, die Sie mögen, kann Ihre Komfort-Score verbessern, indem Sie einfach eine phrasenbasierte Ausgabe hinzufügen und die Aufmerksamkeit ist wie eine doppelte Diagonale, also ist die aufmerklichkeit kein Problem, so wie ich Ihnen glaube, aber es ist überraschend, dass es nicht funktioniert hat.	( PERSON2 ) < unintelligible / > , die Sie mögen , kann Ihre Komfort-Score verbessern , indem Sie einfach eine phrasenbasierte Ausgabe hinzufügen und die Aufmerksamkeit ist wie eine doppelte Diagonale , also ist die aufmerklichkeit kein Problem , so wie ich Ihnen glaube , aber es ist überraschend , dass es nicht funktioniert hat . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	515	(PERSON10) Also, wenn Sie die phrasenbasierte Ausgabe eingeben, ist das im Grunde Post-Editing, richtig?	( PERSON10 ) Also , wenn Sie die phrasenbasierte Ausgabe eingeben , ist das im Grunde Post-Editing , richtig ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	516	Sie können darüber nachdenken, wie eine Post-Editing wie Sie post-editing Phrase-basierte Ausgabe, richtig?	Sie können darüber nachdenken , wie eine Post-Editing wie Sie post-editing Phrase-basierte Ausgabe , richtig ? <EOS>	OK OK OK OK OK OK OK OK OK OK BAD OK OK OK BAD OK OK
en-de	gold	517	Oder wie, hängt von der Sichtweise ab, richtig?	Oder wie , hängt von der Sichtweise ab , richtig ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	518	(PERSON1) <unintelligible/> dass Sie es vollständig umschreiben möchten, aber technisch passt es genau zur Post-Editing-Aufgabe, Sie können dies als Lösung für die Postediting-Aktion anschließen.	( PERSON1 ) < unintelligible / > dass Sie es vollständig umschreiben möchten , aber technisch passt es genau zur Post-Editing-Aufgabe , Sie können dies als Lösung für die Postediting-Aktion anschließen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD
en-de	gold	519	(PERSON10) Okay, also eine Frage nur für mich, nur um sicherzustellen, dass Sie in den Verknüpfungs-Einstellungen das Satztrennzeichen einfügen, richtig?	( PERSON10 ) Okay , also eine Frage nur für mich , nur um sicherzustellen , dass Sie in den Verknüpfungs-Einstellungen das Satztrennzeichen einfügen , richtig ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	520	Sie haben ein besonderes Zeichen, um zu unterscheiden, welche die Quelle ist und welche der Kontext oder der andere Satz ist oder verbinden Sie sie einfach ohne irgendetwas?	Sie haben ein besonderes Zeichen , um zu unterscheiden , welche die Quelle ist und welche der Kontext oder der andere Satz ist oder verbinden Sie sie einfach ohne irgendetwas ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	521	Und hoffen, dass das System es lernt?	Und hoffen , dass das System es lernt ? <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	522	(PERSON8) Ich habe es versucht, ich schätze zwei Token und ja wie, weil in der ersten Version, hatten wir einen Verdacht, dass der token könnte auch tokenized selbst, so dann habe ich es wieder mit einem anderen token, die ist nicht nur für diesen Zweck, denn wir benutzten einige vorgeübte Wörterbuch, und dieses Wortbuch nicht enthalten Trennzeichen.	( PERSON8 ) Ich habe es versucht , ich schätze zwei Token und ja wie , weil in der ersten Version , hatten wir einen Verdacht , dass der token könnte auch tokenized selbst , so dann habe ich es wieder mit einem anderen token , die ist nicht nur für diesen Zweck , denn wir benutzten einige vorgeübte Wörterbuch , und dieses Wortbuch nicht enthalten Trennzeichen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK BAD BAD BAD OK OK
en-de	gold	523	Also habe ich ein Token benutzt, von dem ich annahm, dass es nicht in mehrere Stücke getokeniert sein würde und so wird es nur einmal erscheinen.	Also habe ich ein Token benutzt , von dem ich annahm , dass es nicht in mehrere Stücke getokeniert sein würde und so wird es nur einmal erscheinen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	524	Ich hatte keine Garantie, dass dieses Token an anderen Stellen im Satz nicht erscheinen könnte, und das ist der einzige Ort, an dem es auftauchen könnte.	Ich hatte keine Garantie , dass dieses Token an anderen Stellen im Satz nicht erscheinen könnte , und das ist der einzige Ort , an dem es auftauchen könnte . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	525	Also, es könnte besser gemacht werden, ja, ich stimme zu.	Also , es könnte besser gemacht werden , ja , ich stimme zu . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	526	Einer verhaftet inmitten des Tate Britain-Protests gegen die Drag Queen-Kinderveranstaltung	Einer verhaftet inmitten des Tate Britain-Protests gegen die Drag Queen-Kinderveranstaltung <EOS>	OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	527	Eine Person wurde während einer Demonstration vor der Tate Britain festgenommen, wo ein Drag-Queen-Geschichtenerzählveranstaltung für Kinder stattfand.	Eine Person wurde während einer Demonstration vor der Tate Britain festgenommen , wo ein Drag-Queen-Geschichtenerzählveranstaltung für Kinder stattfand . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK
en-de	gold	528	Die Metropolitan Police sagte, eine Person sei verhaftet worden unter dem Verdacht, gegen einen Polizisten vor der Kunstgalerie in der Nähe von Westminster einen rassistisch empörenden Kommentar gemacht zu haben.	Die Metropolitan Police sagte , eine Person sei verhaftet worden unter dem Verdacht , gegen einen Polizisten vor der Kunstgalerie in der Nähe von Westminster einen rassistisch empörenden Kommentar gemacht zu haben . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	529	Es wurden keine Verletzungen gemeldet, und die Beamten bleiben am Tatort, sagte die Polizei.	Es wurden keine Verletzungen gemeldet , und die Beamten bleiben am Tatort , sagte die Polizei . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	530	"Das Tate veranstaltete am Samstag die Drag Queen Story Hour UK, mit Geschichten, die von Aida H Dee erzählt wurden, von der die Webseite der Galerie beschreibt, dass sie ""die erste Drag-Künstlerin in Europa war, der Kindern in einem Kindergarten Erzählungen vorlas"". Eine rechtsgerichtete Gruppe von Demonstranten demonstrierte vor der Gallery und wurde von Gegenprotestanten begegnet, angeführt von Trans-Rechtsaktivisten und politischen Gruppen, darunter Stand Up to Racism."	"Das Tate veranstaltete am Samstag die Drag Queen Story Hour UK , mit Geschichten , die von Aida H Dee erzählt wurden , von der die Webseite der Galerie beschreibt , dass sie "" die erste Drag-Künstlerin in Europa war , der Kindern in einem Kindergarten Erzählungen vorlas "" . Eine rechtsgerichtete Gruppe von Demonstranten demonstrierte vor der Gallery und wurde von Gegenprotestanten begegnet , angeführt von Trans-Rechtsaktivisten und politischen Gruppen , darunter Stand Up to Racism . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	531	hallucination	hallucination	hallucination
en-de	gold	532	Die Beamten mussten einen Korridor bilden, damit die Besucher in den Veranstaltungsort kommen konnten.	Die Beamten mussten einen Korridor bilden , damit die Besucher in den Veranstaltungsort kommen konnten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	533	"Die Drag-Queen schrieb auf Twitter, der Tag sei ""richtig emotional"" gewesen, und fügte hinzu, dass fünf Demonstranten in die Tate eingetreten seien und in Teilen des Gebäudes ""eine Störung verursacht hätten"", aber sie hätten die Lesungen nicht beeinflusst."	"Die Drag-Queen schrieb auf Twitter , der Tag sei "" richtig emotional "" gewesen , und fügte hinzu , dass fünf Demonstranten in die Tate eingetreten seien und in Teilen des Gebäudes "" eine Störung verursacht hätten "" , aber sie hätten die Lesungen nicht beeinflusst . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	534	"Zuvor hatte sie Pink News mitgeteilt, dass die Einladung zur Tate für die Veranstaltung während des LGBTQ+-Geschichtsmonats ""eine Ehre"" gewesen sei. Ihre Lesungen waren zuvor von Demonstranten ins Visier genommen worden."	"Zuvor hatte sie Pink News mitgeteilt , dass die Einladung zur Tate für die Veranstaltung während des LGBTQ + -Geschichtsmonats "" eine Ehre "" gewesen sei . Ihre Lesungen waren zuvor von Demonstranten ins Visier genommen worden . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	535	"Die Drag Queen hatte gesagt, dass ""Risikobewertungen"" vorher stattgefunden hätten - aber fügte hinzu, es sei ""lächerlich"", dass sie notwendig seien."	"Die Drag Queen hatte gesagt , dass "" Risikobewertungen "" vorher stattgefunden hätten - aber fügte hinzu , es sei "" lächerlich "" , dass sie notwendig seien . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	536	Aida twitterte: Fünf Hasser haben es in das Tate geschafft.	Aida twitterte : Fünf Hasser haben es in das Tate geschafft . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	537	Sie haben eine Störung verursacht.	Sie haben eine Störung verursacht . <EOS>	OK OK OK OK OK OK OK
en-de	gold	538	Aber nicht zur Drag Story Hour UK...Sie machten einen Aufruhr woanders im Gebäude, nicht wo die Show war!!	Aber nicht zur Drag Story Hour UK ... Sie machten einen Aufruhr woanders im Gebäude , nicht wo die Show war ! ! <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	539	Aida hatte am Samstag um 11 Uhr, mittags und um 14 Uhr drei Geschichtenerzählungen veranstaltet.	Aida hatte am Samstag um 11 Uhr , mittags und um 14 Uhr drei Geschichtenerzählungen veranstaltet . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	540	"Ein Sprecher des Tate sagte: ""Wir programmieren Künstler nicht, um bestimmte Sichtweisen zu fördern, noch um unterschiedliche Ansichten zu versöhnen"". Unsere Galerien bieten ein breites Programm an und die Besucher haben die Freiheit zu wählen, mit welchen Aspekten sie sich beschäftigen."	"Ein Sprecher des Tate sagte : "" Wir programmieren Künstler nicht , um bestimmte Sichtweisen zu fördern , noch um unterschiedliche Ansichten zu versöhnen "" . Unsere Galerien bieten ein breites Programm an und die Besucher haben die Freiheit zu wählen , mit welchen Aspekten sie sich beschäftigen . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	541	Vier Jugendliche angeklagt wegen Angriffs auf einen 14-Jährigen, der durch Selbstmord starb, nachdem ein Video online veröffentlicht wurde.	Vier Jugendliche angeklagt wegen Angriffs auf einen 14-Jährigen , der durch Selbstmord starb , nachdem ein Video online veröffentlicht wurde . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK
en-de	gold	542	Dad sagt, die Tochter hat sich das Leben genommen, nachdem sie in der Schule in New Jersey gemobbt wurde.	Dad sagt , die Tochter hat sich das Leben genommen , nachdem sie in der Schule in New Jersey gemobbt wurde . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	543	Vier Jugendliche aus New Jersey wurden in Verbindung mit dem Angriff auf ein 14-jähriges Mädchen angeklagt, das sich später das Leben nahm, nachdem ein Video des Vorfalls in den sozialen Medien veröffentlicht wurde.	Vier Jugendliche aus New Jersey wurden in Verbindung mit dem Angriff auf ein 14-jähriges Mädchen angeklagt , das sich später das Leben nahm , nachdem ein Video des Vorfalls in den sozialen Medien veröffentlicht wurde . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	544	Ein Jugendlicher wird wegen schwerer Übergriffe angeklagt, zwei Jugendliche werden wegen Verschwörung zur Begehung von schweren Angriffen und einer Jugendlichen wegen Belästigung beschuldigt, sagte der Staatsanwalt von Ocean County, Bradley D. Billhimer, CBS News in einer E-Mail.	Ein Jugendlicher wird wegen schwerer Übergriffe angeklagt , zwei Jugendliche werden wegen Verschwörung zur Begehung von schweren Angriffen und einer Jugendlichen wegen Belästigung beschuldigt , sagte der Staatsanwalt von Ocean County , Bradley D. Billhimer , CBS News in einer E-Mail . <EOS>	BAD BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD
en-de	gold	545	Adriana Kuch, 14, wurde am 3. Februar in ihrem Haus in Bayville tot aufgefunden, zwei Tage nachdem das beunruhigende Video des Angriffs auf die Central Regional High School im Internet veröffentlicht wurde.	Adriana Kuch , 14 , wurde am 3. Februar in ihrem Haus in Bayville tot aufgefunden , zwei Tage nachdem das beunruhigende Video des Angriffs auf die Central Regional High School im Internet veröffentlicht wurde . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	546	Das Video zeigte Mädchen, die dem Teenager einen Drink warfen, dann traten sie und schleppten sie durch die Flure der Schule.	Das Video zeigte Mädchen , die dem Teenager einen Drink warfen , dann traten sie und schleppten sie durch die Flure der Schule . <EOS>	OK OK OK OK OK OK BAD BAD BAD OK BAD OK OK OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	547	Sie drängten Adriana in rote Schließfächer, die auf den Fluren der Schule lagen, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.	Sie drängten Adriana in rote Schließfächer , die auf den Fluren der Schule lagen , und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt . <EOS>	OK OK OK OK OK OK OK OK BAD OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	548	Ein anderes Mädchen außerhalb des Videokamers lachte, als sie die Szene aufnahm.	Ein anderes Mädchen außerhalb des Videokamers lachte , als sie die Szene aufnahm . <EOS>	OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	549	Zwei Erwachsene kamen herein, um den Angriff zu unterbinden, wobei ein Erwachsener die Teenager auseinanderzog.	Zwei Erwachsene kamen herein , um den Angriff zu unterbinden , wobei ein Erwachsener die Teenager auseinanderzog . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	550	Adriana lag verletzt auf dem Flurboden, als der Erwachsene versuchte, ihr aufzustehen.	Adriana lag verletzt auf dem Flurboden , als der Erwachsene versuchte , ihr aufzustehen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	551	"Eines der Mädchen sagte: Das bekommt man"". ""Sie liebte das Leben."	"Eines der Mädchen sagte : Das bekommt man "" . "" Sie liebte das Leben . <EOS>"	OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	552	Sie war das glücklichste Kind.	Sie war das glücklichste Kind . <EOS>	OK OK OK OK OK OK OK
en-de	gold	553	Jeder liebte sie, sagte ihr Vater Michael Kuch am Donnerstag gegenüber CBS New York und fügte hinzu, er sei wütend und wolle, dass alle das Video und das sehen, was die Teenager seiner Tochter angetan hätten.	Jeder liebte sie , sagte ihr Vater Michael Kuch am Donnerstag gegenüber CBS New York und fügte hinzu , er sei wütend und wolle , dass alle das Video und das sehen , was die Teenager seiner Tochter angetan hätten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	554	Kuch sagte, die Polizei hätte sofort gerufen werden sollen, weil die Studenten, mit denen seine Tochter Probleme hatte, ihr Gesicht mit einer 20-Unzen-Flasche zertrümmerten.	Kuch sagte , die Polizei hätte sofort gerufen werden sollen , weil die Studenten , mit denen seine Tochter Probleme hatte , ihr Gesicht mit einer 20-Unzen-Flasche zertrümmerten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	555	Wenn sie die Polizei angerufen und eine Untersuchung durchgeführt hätten, hätten diese Mädchen keine Videos von der Schule gepostet, sagte Kuch.	Wenn sie die Polizei angerufen und eine Untersuchung durchgeführt hätten , hätten diese Mädchen keine Videos von der Schule gepostet , sagte Kuch . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	556	Er sagte auch, seine Tochter, die blaue Flecken hatte, hätte ins Krankenhaus gebracht werden sollen.	Er sagte auch , seine Tochter , die blaue Flecken hatte , hätte ins Krankenhaus gebracht werden sollen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	557	Wir behandeln immer jedes Thema von Mobbing und am Tag des Vorfalls wurden vier Schüler suspendiert, sagte Dr. Triantafillos Parlapanides, Superintendent der Schulen, gegenüber CBS New York.	Wir behandeln immer jedes Thema von Mobbing und am Tag des Vorfalls wurden vier Schüler suspendiert , sagte Dr. Triantafillos Parlapanides , Superintendent der Schulen , gegenüber CBS New York . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	558	Die Schulbeamten haben CBS New York mitgeteilt, sie hätten die Familie benachrichtigt und Adrianas Tod als schrecklich bezeichnet.	Die Schulbeamten haben CBS New York mitgeteilt , sie hätten die Familie benachrichtigt und Adrianas Tod als schrecklich bezeichnet . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
