index	original	translation	scores	mean	z_scores	z_mean
1080	Mumbai Indians are the most successful team in league's history in terms of the number of titles won.	मुंबई इंडियंस खिताब जीतने के मामले में लीग के इतिहास में सबसे सफल टीम है।	[95, 95, 88, 92]	92.5	[0.539888771918306, 0.6254510232064127, 1.5645886871344867, 1.648316551688466]	1.0945612584869178
1081	One Boeing 777 and one Boeing 757 were painted in standard livery with a pink ribbon on the sides and the tail, in support of Susan G. Komen for the Cure.	इलाज के लिए सुसान जी. कोमेन के समर्थन में एक बोइंग 777 और एक बोइंग 757 को गुलाबी रिबन के साथ मानक वर्दी में पेंट किया गया था।	[90, 90, 86, 75]	85.25	[0.12609030444560904, 0.2069211629237486, 1.3576892017338236, 0.05432950797724894]	0.43625754427010754
1082	In the trading windows, a player can only be traded with his consent, with the franchise paying the difference if any between the old and new contracts.	ट्रेडिंग विंडो में, एक खिलाड़ी को केवल उसकी सहमति से ट्रेड किया जा सकता है, जिसमें फ्रेंचाइजी पुराने और नए अनुबंधों के बीच अंतर का भुगतान करती है।	[95, 95, 78, 82]	87.5	[0.539888771918306, 0.6254510232064127, 0.5300912601311706, 0.7106771142112794]	0.6015270423667922
1083	"The origin of the word ""Chaar Bayt"" can be traced back to the Persian language where it refers to a four-stanzas poetry in which each stanza is composed of four lines."	चार बेत शब्द की उत्पत्ति फारसी भाषा में खोजी जा सकती है जहां यह चार-पंक्तियों की कविता को संदर्भित करता है जिसमें प्रत्येक पंक्तियां चार पंक्तियों से बनी होती हैं।	[80, 85, 76, 76]	79.25	[-0.7015066304997849, -0.2116086973589154, 0.3231917747305074, 0.1480934517249676]	-0.11045752535080633
1084	Filming took place in several locations, mainly in several cities located in Massachusetts, while other scenes were filmed in Spain and parts of Austria.	फिल्मांकन कई स्थानों पर हुआ, मुख्य रूप से मैसाचुसेट्स में स्थित कई शहरों में, जबकि अन्य दृश्यों को स्पेन और ऑस्ट्रिया के कुछ हिस्सों में फिल्माया गया था।	[95, 95, 80, 71]	85.25	[0.539888771918306, 0.6254510232064127, 0.7369907455318339, -0.32072626701362567]	0.3954010684107317
1085	All publicly accessible websites collectively constitute the World Wide Web.	सभी सार्वजनिक रूप से सुलभ वेबसाइटें सामूहिक रूप से वर्ल्ड वाइड वेब का गठन करती हैं।	[100, 95, 88, 80]	90.75	[0.953687239391003, 0.6254510232064127, 1.5645886871344867, 0.5231492267158422]	0.9167190441119362
1086	He said, 'you shall not see me but look at that mountain, if it remains standing firm you will see me.'	उन्होंने कहा, तुम मुझे नहीं देखोगे, लेकिन उस पहाड़ को देखो, अगर वह स्थिर रहता है तो तुम मुझे देखोगे।	[75, 80, 69, 86]	77.5	[-1.115305097972482, -0.6301385576415794, -0.4009564241718138, 1.085732889202154]	-0.26516679764593026
1087	In mathematics, a functional equation is any equation in which the unknown represents a function.	गणित में, कार्यात्मक समीकरण (functional equation) वह समीकरण है जिसमें अज्ञात फलन का प्रतिनिधित्व करता है।	[95, 95, 70, 67]	81.75	[0.539888771918306, 0.6254510232064127, -0.29750668147148224, -0.6957820420045002]	0.04301276791218406
1088	"It is also called ""effluent polishing""."	इसे एफ्लुएंट पॉलिशिंग भी कहा जाता है।	[80, 90, 87, 65]	80.5	[-0.7015066304997849, 0.2069211629237486, 1.4611389444341552, -0.8833099294999376]	0.020810886839545323
1089	He was also named man of the match.	उन्हें मैन ऑफ द मैच भी चुना गया।	[90, 95, 87, 94]	91.5	[0.12609030444560904, 0.6254510232064127, 1.4611389444341552, 1.8358444391839033]	1.01213117781752
1090	The size and type of magnet and details of the magnetic circuit differ, depending on design goals.	डिजाइन लक्ष्यों के आधार पर चुंबक का आकार और प्रकार और चुंबकीय सर्किट का विवरण अलग-अलग होता है।	[95, 95, 69, 69]	82.0	[0.539888771918306, 0.6254510232064127, -0.4009564241718138, -0.508254154509063]	0.06403230411096048
1091	Other parliaments in Commonwealth nations, including those of India, Canada, Australia and New Zealand, have copied the colour scheme under which the Lower House is associated with green, and the Upper House with red.	भारत, कनाडा, ऑस्ट्रेलिया और न्यूजीलैंड सहित राष्ट्रमंडल देशों की अन्य संसदों ने उस रंग योजना की नकल की है जिसके तहत निचले सदन को हरे रंग से और ऊपरी सदन को लाल रंग से जोड़ा गया है।	[95, 95, 69, 72]	82.75	[0.539888771918306, 0.6254510232064127, -0.4009564241718138, -0.226962323265907]	0.13435526192174946
1092	As well as being the official compiler of the GNU operating system, GCC has been adopted as the standard compiler by many other modern Unix-like computer operating systems, including most Linux distributions.	जीसीसी जीएनयू ऑपरेटिंग सिस्टम का आधिकारिक कंपाइलर होने के साथ-साथ अधिकांश लिनक्स वितरणों सहित कई अन्य आधुनिक यूनिक्स जैसे कंप्यूटर ऑपरेटिंग सिस्टम द्वारा मानक कंपाइलर के रूप में अपनाया गया है।	[95, 95, 79, 80]	87.25	[0.539888771918306, 0.6254510232064127, 0.6335410028315023, 0.5231492267158422]	0.5805075061680158
1093	"Graham Thorpe, England's interim head coach, said that it provides a ""great opportunity for cricket""."	"""इंग्लैंड के अंतरिम मुख्य कोच ग्राहम थोर्प ने कहा कि यह"" ""क्रिकेट के लिए एक महान अवसर प्रदान करता है।"""	[70, 70, 77, 77]	73.5	[-1.529103565445179, -1.4671982782069075, 0.426641517430839, 0.24185739547268623]	-0.5819507326871404
1094	"This beat was pioneered by Sly and Robbie, who later helped create the ""Rub-a-Dub"" sound that greatly influenced dancehall."	इस बीट को स्लाई और रॉबी ने आगे बढ़ाया, जिन्होंने बाद में 'रब-ए-डब' ध्वनि बनाने में मदद की जिसने नृत्य हॉल को बहुत प्रभावित किया।	[80, 90, 86, 69]	81.25	[-0.7015066304997849, 0.2069211629237486, 1.3576892017338236, -0.508254154509063]	0.08871239491218108
1095	The Kingdom of Aru, located in East Sumatra, was called the Kingdom of Haru, in some works such as those of Tuanku Luckman Sinar Basarshah II who frequently wrote about the history of the kingdoms of East Sumatra.	पूर्वी सुमात्रा में स्थित अरू साम्राज्य को कुछ कार्यों में हरू साम्राज्य कहा जाता था, जैसे कि तुंकू लक्ष्मण सिनार बसारशाह द्वितीय, जिन्होंने पूर्वी सुमात्रा के राज्यों के इतिहास के बारे में अक्सर लिखा था।	[80, 80, 66, 90]	79.0	[-0.7015066304997849, -0.6301385576415794, -0.7113056522728086, 1.4607886641930286]	-0.14554054405528605
1096	Located 48 km (30 mi) west of Seoul, the capital and the largest city of South Korea, Incheon International Airport is the main hub for Korean Air, Asiana Airlines, Jeju Air, and Polar Air Cargo.	दक्षिण कोरिया की राजधानी और सबसे बड़ा शहर सियोल के 48 किमी (30 मील) पश्चिम में स्थित, इंचियोन अंतर्राष्ट्रीय हवाई अड्डा कोरियाई एयर, एशियाना एयरलाइंस, जेजू एयर और पोलर एयर कार्गो का मुख्य केंद्र है।	[85, 85, 78, 81]	82.25	[-0.28770816302708796, -0.2116086973589154, 0.5300912601311706, 0.6169131704635609]	0.16192189255218203
1097	From Sokodai, one can observe Lake Penketo and Lake Panketo.	सोकोडाई से पेंकेटो झील और पेंकेटो झील को देखा जा सकता है।	[55, 65, 65, 76]	65.25	[-2.77049896786327, -1.8857281384895714, -0.8147553949731403, 0.1480934517249676]	-1.3307222624002535
1098	The earliest runic inscriptions date from around 150 AD.	सबसे पुराने रूनिक शिलालेख लगभग 150 ईस्वी के हैं।	[60, 90, 80, 73]	75.75	[-2.356700500390573, 0.2069211629237486, 0.7369907455318339, -0.13319837951818836]	-0.3864967428632947
1099	Some elements make a particular region more vulnerable to famine.	कुछ तत्व किसी विशेष क्षेत्र को अकाल के प्रति अधिक संवेदनशील बनाते हैं।	[85, 95, 78, 74]	83.0	[-0.28770816302708796, 0.6254510232064127, 0.5300912601311706, -0.039434435770469706]	0.20709992113500642
1100	Monitoring of Government doctors through skype has completely changed the scenario in the public health sector.	स्काइप के माध्यम से सरकारी डॉक्टरों की निगरानी ने सार्वजनिक स्वास्थ्य क्षेत्र में परिदृश्य को पूरी तरह बदल दिया है।	[95, 95, 76, 75]	85.25	[0.539888771918306, 0.6254510232064127, 0.3231917747305074, 0.05432950797724894]	0.3857152694581188
1101	"Following this battle Muhammad gave Ali the name Asadullāh (which means ""Lion of God"") and reportedly praised him, saying ""Ali's strike on Amr ibn Abd al-Wud is greater than the worship of both mankind and jinn until the Day of Judgement."""	"""इस लड़ाई के बाद मुहम्मद ने अली को असादुल्लसीलेंघ (जिसका अर्थ है"" ""भगवान का शेर"" "") नाम दिया और कथित तौर पर उनकी प्रशंसा करते हुए कहा कि"" ""अमर इब्न अब्द अल-वुद पर अली का हमला न्याय के दिन तक मनुष्यों और जिनों दोनों की पूजा से बड़ा है।"""	[65, 65, 87, 82]	74.75	[-1.9429020329178759, -1.8857281384895714, 1.4611389444341552, 0.7106771142112794]	-0.4142035281905031
1102	While some Rajput women who entered Akbar's harem converted to Islam, they were generally provided full religious freedom, and their relatives, who continued to remain Hindu, formed a significant part of the nobility and served to articulate the opinions of the majority of the common populace in the imperial court.	जबकि अकबर के हरम में प्रवेश करने वाली कुछ राजपूत महिलाओं को इस्लाम में परिवर्तित कर दिया गया था, उन्हें आम तौर पर पूरी धार्मिक स्वतंत्रता प्रदान की गई थी, और उनके रिश्तेदार, जो हिंदू बने रहे, ने कुलीनता का एक महत्वपूर्ण हिस्सा बनाया और शाही दरबार में आम जनता के बहुमत के विचारों को व्यक्त किया।	[90, 90, 70, 70]	80.0	[0.12609030444560904, 0.2069211629237486, -0.29750668147148224, -0.4144902107613443]	-0.09474635621586723
1103	IP enables internetworking and, in essence, establishes the Internet itself.	आईपी इंटरनेटवर्किंग को सक्षम बनाता है और संक्षेप में इंटरनेट को स्थापित करता है।	[100, 90, 60, 71]	80.25	[0.953687239391003, 0.2069211629237486, -1.3320041084747982, -0.32072626701362567]	-0.12303049329341807
1104	The Amaravati–Anantapur Expressway, supported by Kurnool and Kadapa Feeder Roads is an ongoing greenfield expressway project, which would provide faster road access from the districts of Anantapur, Guntur, Kadapa, Kurnool and Prakasam to Amaravati, Rajamahendravaram, Kakinada, and Visakhapatnam.	कुरनूल और कडप्पा फीडर सड़कों द्वारा समर्थित अमरावती-अनंतपुर एक्सप्रेसवे एक जारी ग्रीनफील्ड एक्सप्रेसवे परियोजना है, जो अनंतपुर, गुंटूर, कडप्पा, कुरनूल और प्रकाशम जिलों से अमरावती, राजामहेंद्रवरम, काकीनाडा और विशाखापत्तनम तक तेजी से सड़क पहुंच प्रदान करेगी।	[85, 85, 56, 56]	70.5	[-0.28770816302708796, -0.2116086973589154, -1.7458030792761248, -1.7271854232294053]	-0.9930763407228833
1105	The lead actors were Kishore Kumar and Sheila Ramani.	इस फिल्म में किशोर कुमार और शीला रमानी मुख्य भूमिका में थे।	[100, 95, 72, 77]	86.0	[0.953687239391003, 0.6254510232064127, -0.09060719607081902, 0.24185739547268623]	0.4325971154998207
1106	Her sisters Divya, Prashanti, and Pratima, have represented Indian National Women's Basketball Team.	उनकी बहनें दिव्या, प्रशांति और प्रतिमा ने भारतीय राष्ट्रीय महिला बास्केटबॉल टीम का प्रतिनिधित्व किया है।	[95, 95, 79, 79]	87.0	[0.539888771918306, 0.6254510232064127, 0.6335410028315023, 0.4293852829681235]	0.557066520231086
1107	Yet despite difficult problems, local leaders, owing no tribute to the king, used their new-found independence to establish a thriving culture in the provinces.	फिर भी कठिन समस्याओं के बावजूद, स्थानीय नेताओं ने, राजा को कोई श्रद्धांजलि नहीं दी, प्रांतों में एक संपन्न संस्कृति स्थापित करने के लिए अपनी नई स्वतंत्रता का उपयोग किया।	[90, 90, 50, 86]	79.0	[0.12609030444560904, 0.2069211629237486, -2.3665015354781143, 1.085732889202154]	-0.2369392947266506
1108	The Tu-144S had a significantly shorter range than Concorde.	टीयू-144एस की रेंज कॉनकॉर्ड की तुलना में काफी कम थी।	[95, 95, 81, 91]	90.5	[0.539888771918306, 0.6254510232064127, 0.8404404882321654, 1.5545526079407472]	0.8900832228244079
1109	This was Tyson's fifth career defeat.	यह टायसन की करियर में पांचवीं हार थी।	[90, 95, 82, 84]	87.75	[0.12609030444560904, 0.6254510232064127, 0.943890230932497, 0.8982050017067168]	0.6484091400728089
1110	He represented India in International cricket.	उन्होंने अंतर्राष्ट्रीय क्रिकेट में भारत का प्रतिनिधित्व किया।	[100, 70, 88, 86]	86.0	[0.953687239391003, -1.4671982782069075, 1.5645886871344867, 1.085732889202154]	0.534202634380184
1111	Stallone has been married three times.	स्टैलोन की तीन बार शादी हो चुकी है।	[100, 95, 88, 69]	88.0	[0.953687239391003, 0.6254510232064127, 1.5645886871344867, -0.508254154509063]	0.6588681988057099
1112	Similarly, Ibn Qudamah (d. 620 AH) considered Ziyarat of the Prophet to be recommended and also seeking intercession directly from the Prophet at his grave.	इसी तरह, इब्न कुदामाह (620 हिजरी) ने पैगंबर के ज़ियारत की सिफारिश की और अपनी कब्र पर सीधे पैगंबर से मध्यस्थता की मांग की।	[70, 70, 69, 79]	72.0	[-1.529103565445179, -1.4671982782069075, -0.4009564241718138, 0.4293852829681235]	-0.7419682462139443
1113	The goal is to open the doors for optimal water budgeting in all sectors.	इसका लक्ष्य सभी क्षेत्रों में इष्टतम जल बजट के लिए दरवाजे खोलना है।	[95, 95, 80, 84]	88.5	[0.539888771918306, 0.6254510232064127, 0.7369907455318339, 0.8982050017067168]	0.7001338855908174
1114	Due to this shared sovereignty, Americans are citizens both of the federal republic and of the state in which they reside.	इस साझा संप्रभुता के कारण, अमेरिकी संघीय गणराज्य और जिस राज्य में वे रहते हैं, दोनों के नागरिक हैं।	[90, 90, 65, 78]	80.75	[0.12609030444560904, 0.2069211629237486, -0.8147553949731403, 0.3356213392204049]	-0.03653064709584446
1115	It also killed many New Zealand Māori.	इसने कई न्यूजीलैंड म्लेन्योरी को भी मार डाला।	[55, 30, 80, 70]	58.75	[-2.77049896786327, -4.815437160468219, 0.7369907455318339, -0.4144902107613443]	-1.81585889839025
1116	Coming out of the Ganai, it flows towards the Talla Giwar region, where there is an open valley with alluvial land along and around the river, which is extensively cultivated and irrigated by the waters of the river.	गनई से बाहर निकलकर यह तल्ला गिवार क्षेत्र की ओर बहती है, जहां नदी के आसपास जलोढ़ भूमि के साथ एक खुली घाटी है, जिसकी व्यापक रूप से खेती की जाती है और नदी के पानी से सिंचित होती है।	[75, 70, 86, 78]	77.25	[-1.115305097972482, -1.4671982782069075, 1.3576892017338236, 0.3356213392204049]	-0.22229820880629025
1117	For example, during a war between Qi and Lu in 684 BC, the effect of drum on soldiers' morale is employed to change the result of a major battle.	उदाहरण के लिए, 684 ईसा पूर्व में क्यूई और लू के बीच एक युद्ध के दौरान, सैनिकों के मनोबल पर ड्रम का प्रभाव एक बड़ी लड़ाई के परिणाम को बदलने के लिए नियोजित किया जाता है।	[60, 50, 70, 82]	65.5	[-2.356700500390573, -3.1413177193375637, -0.29750668147148224, 0.7106771142112794]	-1.2712119467470848
1118	First aid (wilderness first aid in particular) can help a person survive and function with injuries and illnesses that would otherwise kill or incapacitate him/her.	प्राथमिक चिकित्सा (विशेष रूप से जंगली प्राथमिक चिकित्सा) एक व्यक्ति को जीवित रहने और चोटों और बीमारियों के साथ काम करने में मदद कर सकती है जो अन्यथा उसे मार सकती हैं या अक्षम कर सकती हैं।	[85, 85, 65, 81]	79.0	[-0.28770816302708796, -0.2116086973589154, -0.8147553949731403, 0.6169131704635609]	-0.17428977122389572
1119	A number of players and administrators were handed bans for match fixing, including the former captain of Bangladesh, Mohammad Ashraful.	कई खिलाड़ियों और प्रशासकों को मैच फिक्सिंग के लिए प्रतिबंध लगा दिया गया था, जिसमें बांग्लादेश के पूर्व कप्तान मोहम्मद अशरफुल भी शामिल थे।	[95, 95, 69, 69]	82.0	[0.539888771918306, 0.6254510232064127, -0.4009564241718138, -0.508254154509063]	0.06403230411096048
1120	This limits the current that can flow from Q to ground.	यह Q से जमीन पर प्रवाहित होने वाली धारा को सीमित करता है।	[90, 90, 85, 85]	87.5	[0.12609030444560904, 0.2069211629237486, 1.254239459033492, 0.9919689454544354]	0.6448049679643213
1121	In the United Kingdom, where the show originates, it is called Born Survivor: Bear Grylls and is broadcast on the Discovery Channel.	यूनाइटेड किंगडम में, जहां यह शो शुरू होता है, इसे बॉर्न सरवाइवरः बेयर ग्रिल्स कहा जाता है और डिस्कवरी चैनल पर प्रसारित किया जाता है।	[90, 90, 78, 94]	88.0	[0.12609030444560904, 0.2069211629237486, 0.5300912601311706, 1.8358444391839033]	0.6747367916711079
1122	Gopal is hurt that she did not mention him.	गोपाल को दुख होता है कि उसने उसका उल्लेख नहीं किया।	[75, 85, 78, 65]	75.75	[-1.115305097972482, -0.2116086973589154, 0.5300912601311706, -0.8833099294999376]	-0.42003311617504113
1123	"Reflexology's claim to manipulate energy (Qi) is unsupported by science; there is no scientific evidence for the existence of life energy (Qi), ""energy balance"", ""crystalline structures"", or ""pathways"" in the body."	रिफ्लेक्सोलॉजी का ऊर्जा में हेरफेर (क्यूआई) का दावा विज्ञान द्वारा समर्थित नहीं है, शरीर में जीवन ऊर्जा (क्यूआई), ऊर्जा संतुलन, क्रिस्टलीय संरचनाओं या मार्गों के अस्तित्व के लिए कोई वैज्ञानिक सबूत नहीं है।	[85, 85, 66, 70]	76.5	[-0.28770816302708796, -0.2116086973589154, -0.7113056522728086, -0.4144902107613443]	-0.4062781808550391
1124	Industrial relations scholars such as Alan Fox have described three major theoretical perspectives or frameworks, that contrast in their understanding and analysis of workplace relations.	एलन फॉक्स जैसे औद्योगिक संबंध विद्वानों ने तीन प्रमुख सैद्धांतिक दृष्टिकोण या ढांचे का वर्णन किया है, जो कार्यस्थल संबंधों की उनकी समझ और विश्लेषण में विरोधाभास है।	[90, 90, 80, 50]	77.5	[0.12609030444560904, 0.2069211629237486, 0.7369907455318339, -2.2897690857157174]	-0.3049417182036315
1125	The Undavalli Caves, a monolithic example of Indian rock-cut architecture and one of the finest testimonials to ancient viswakarma sthapathis, are located in Undavalli of Guntur district in the Indian state of Andhra Pradesh.	उंडवल्ली गुफाएं, भारतीय रॉक-कट आर्किटेक्चर का एक एकाश्मक उदाहरण और प्राचीन विश्वकर्मा स्थपतियों के बेहतरीन प्रमाणों में से एक, भारत के आंध्र प्रदेश राज्य के गुंटूर जिले के उंडवल्ली में स्थित हैं।	[95, 95, 70, 70]	82.5	[0.539888771918306, 0.6254510232064127, -0.29750668147148224, -0.4144902107613443]	0.11333572572297304
1126	The sigmoidal curve of hemoglobin makes it efficient in binding (taking up O2 in lungs), and efficient in unloading (unloading O2 in tissues).	हीमोग्लोबिन का सिग्मोइडल वक्र इसे बाइंडिंग (फेफड़ों में ओ2 लेना) और अनलोडिंग (ऊतकों में ओ2 को उतारना) में कुशल बनाता है।	[95, 95, 79, 87]	89.0	[0.539888771918306, 0.6254510232064127, 0.6335410028315023, 1.1794968329498727]	0.7445944077265234
1127	Heihe marks the northeast terminus of the diagonal Heihe–Tengchong Line, which is sometimes used to divide China into east and west.	हेइहे विकर्ण हेइहे-तेंगचोंग लाइन के पूर्वोत्तर छोर को चिह्नित करता है, जिसका उपयोग कभी-कभी चीन को पूर्व और पश्चिम में विभाजित करने के लिए किया जाता है।	[90, 90, 67, 81]	82.0	[0.12609030444560904, 0.2069211629237486, -0.607855909572477, 0.6169131704635609]	0.08551718206511036
1128	The organisation was founded with the objective of promoting Hindi language, Hindi literature and culture.	इस संगठन की स्थापना हिंदी भाषा, हिंदी साहित्य और संस्कृति को बढ़ावा देने के उद्देश्य से की गई थी।	[100, 100, 85, 89]	93.5	[0.953687239391003, 1.0439808834890767, 1.254239459033492, 1.36702472044531]	1.1547330755897205
1129	After this, Crassus's legions were victorious in several engagements, forcing Spartacus farther south through Lucania as Crassus gained the upper hand.	इसके बाद क्रासस की सेना ने कई लड़ाइयों में जीत हासिल की और स्पार्टाकस को लुकानिया के माध्यम से दक्षिण की ओर जाने के लिए मजबूर किया क्योंकि क्रासस ने जीत हासिल की।	[55, 60, 76, 87]	69.5	[-2.77049896786327, -2.3042579987722354, 0.3231917747305074, 1.1794968329498727]	-0.893017089738781
1130	Most products offer Active Directory integration and per-user/per-machine settings with the more advanced offering multiple power plans, scheduled power plans, anti-insomnia features and enterprise power usage reporting.	अधिकांश उत्पाद सक्रिय निर्देशिका एकीकरण और प्रति-उपयोगकर्ता/प्रति-मशीन सेटिंग्स की पेशकश करते हैं और अधिक उन्नत पावर योजनाओं, अनुसूचित पावर योजनाओं, एंटी-इनसोम्निया सुविधाओं और उद्यम पावर उपयोग रिपोर्टिंग की पेशकश करते हैं।	[95, 95, 70, 71]	82.75	[0.539888771918306, 0.6254510232064127, -0.29750668147148224, -0.32072626701362567]	0.13677671165990268
1131	Belize has a diverse society that is composed of many cultures and languages that reflect its rich history.	बेलीज एक विविधतापूर्ण समाज है जो कई संस्कृतियों और भाषाओं से बना है जो इसके समृद्ध इतिहास को दर्शाता है।	[70, 70, 87, 87]	78.5	[-1.529103565445179, -1.4671982782069075, 1.4611389444341552, 1.1794968329498727]	-0.08891651656701471
1132	It comprises a western portion of the Maoke Mountains.	इसमें माओके पर्वत का एक पश्चिमी भाग शामिल है।	[95, 95, 88, 80]	89.5	[0.539888771918306, 0.6254510232064127, 1.5645886871344867, 0.5231492267158422]	0.8132694272437618
1133	It is situated in Sikar district of Rajasthan.	यह राजस्थान के सीकर जिले में स्थित है।	[95, 95, 89, 90]	92.25	[0.539888771918306, 0.6254510232064127, 1.6680384298348183, 1.4607886641930286]	1.0735417222881414
1134	Saifai railway station, also spelled as Saiphai railway station is a small railway station in Saifai (Etawah district), Uttar Pradesh.	सैफई रेलवे स्टेशन, जिसे सैफई रेलवे स्टेशन भी कहा जाता है, सैफई (इटावा जिला), उत्तर प्रदेश में एक छोटा रेलवे स्टेशन है।	[70, 70, 85, 85]	77.5	[-1.529103565445179, -1.4671982782069075, 1.254239459033492, 0.9919689454544354]	-0.18752335979103985
1135	While arresting a young man for drunk driving, police officers argued with the suspect's mother before onlookers.	शराब पीकर गाड़ी चलाने के आरोप में एक युवक को गिरफ्तार करते समय पुलिस अधिकारियों ने संदिग्ध की मां के साथ प्रत्यक्षदर्शियों के सामने बहस की।	[95, 95, 65, 64]	79.75	[0.539888771918306, 0.6254510232064127, -0.8147553949731403, -0.9770738732476562]	-0.15662236827401946
1136	During the British Raj the town hall was the most important place for social gatherings in Calcutta and many important state functions of the British East India Company were held here.	ब्रिटिश राज के दौरान कलकत्ता में सामाजिक समारोहों के लिए टाउन हॉल सबसे महत्वपूर्ण स्थान था और ब्रिटिश ईस्ट इंडिया कंपनी के कई महत्वपूर्ण राजकीय समारोह यहां आयोजित किए गए थे।	[95, 95, 68, 80]	84.5	[0.539888771918306, 0.6254510232064127, -0.5044061668721455, 0.5231492267158422]	0.2960207137421038
1137	Rh factor, also known as Rh D antigen, is an antigen found on red blood cells; individuals that are Rh-positive (Rh+) have this antigen on their red blood cells and individuals that are Rh-negative (Rh–) do not.	आरएच फैक्टर, जिसे आरएच डी एंटीजन के रूप में भी जाना जाता है, एक एंटीजन है जो लाल रक्त कोशिकाओं पर पाया जाता है जो आरएच-पॉजिटिव (आरएच +) होते हैं, उनकी लाल रक्त कोशिकाओं पर यह एंटीजन होता है और ऐसे व्यक्ति जो आरएच-निगेटिव (आरएच-) नहीं होते हैं।	[80, 80, 78, 79]	79.25	[-0.7015066304997849, -0.6301385576415794, 0.5300912601311706, 0.4293852829681235]	-0.09304216126051754
1138	Bipin Chandra Pal and Bal Gangadhar Tilak were amongst the prominent Indians who expressed their admiration of Lenin and the new rulers in Russia.	बिपिन चंद्र पाल और बाल गंगाधर तिलक उन प्रमुख भारतीयों में शामिल थे जिन्होंने रूस में लेनिन और नए शासकों की प्रशंसा की।	[95, 95, 68, 83]	85.25	[0.539888771918306, 0.6254510232064127, -0.5044061668721455, 0.8044410579589981]	0.3663436715528928
1139	The institute's headquarters is in Jodhpur.	संस्थान का मुख्यालय जोधपुर में है।	[100, 90, 91, 85]	91.5	[0.953687239391003, 0.2069211629237486, 1.8749379152354815, 0.9919689454544354]	1.0068788157511672
1140	Depth can also be portrayed by reducing the contrast in more distant objects, and by making their colors less saturated.	गहराई को अधिक दूर की वस्तुओं में कंट्रास्ट को कम करके और उनके रंगों को कम संतृप्त बनाकर भी चित्रित किया जा सकता है।	[95, 95, 80, 80]	87.5	[0.539888771918306, 0.6254510232064127, 0.7369907455318339, 0.5231492267158422]	0.6063699418430987
1141	Mohit Malik is an Indian television actor.	मोहित मलिक एक भारतीय टेलीविजन अभिनेता हैं।	[95, 95, 93, 86]	92.25	[0.539888771918306, 0.6254510232064127, 2.081837400636145, 1.085732889202154]	1.0832275212407543
1142	His DEA colleague B.B.	उनके डीईए सहयोगी बी. बी.	[90, 95, 80, 84]	87.25	[0.12609030444560904, 0.6254510232064127, 0.7369907455318339, 0.8982050017067168]	0.5966842687226431
1143	Susanne and Lloyd Rudolph argue that the economic disparity is a reason for the aggression shown towards Muslims by Hindus.	सुजैन और लॉयड रुडोल्फ का तर्क है कि आर्थिक असमानता हिंदुओं द्वारा मुसलमानों के प्रति दिखाए गए आक्रामकता का एक कारण है।	[95, 95, 87, 85]	90.5	[0.539888771918306, 0.6254510232064127, 1.4611389444341552, 0.9919689454544354]	0.9046119212533272
1144	Despite achieving some tactical successes at Tobruk, the need to preserve his remaining forces prompted Rommel to withdraw his army to the defensive line at Gazala, west of Tobruk, and then all the way back to El Agheila.	टोब्रुक में कुछ रणनीतिक सफलताओं को प्राप्त करने के बावजूद, अपनी शेष सेनाओं को संरक्षित करने की आवश्यकता ने रोमेल को टोब्रुक के पश्चिम में गजाला में अपनी सेना को वापस लेने और फिर एल अघिला तक वापस जाने के लिए प्रेरित किया।	[85, 85, 76, 79]	81.25	[-0.28770816302708796, -0.2116086973589154, 0.3231917747305074, 0.4293852829681235]	0.06331504932815689
1145	"Use of the term as a compliment is frequent in the jazz community, for example when Miles Davis addressed his future percussionist Mino Cinelu: ""Miles...grabbed his arm and said, 'You're a motherfucker.'"	जैज़ समुदाय में प्रशंसा के रूप में इस शब्द का उपयोग अक्सर होता है, उदाहरण के लिए जब माइल्स डेविस ने अपने भविष्य के तालवादक मिनो सिनेलू को संबोधित कियाः माइल्स ने... अपना हाथ पकड़ लिया और कहा, 'तुम एक मदरफकर हो।	[65, 65, 68, 75]	68.25	[-1.9429020329178759, -1.8857281384895714, -0.5044061668721455, 0.05432950797724894]	-1.069676707575586
1146	It has integrated support for developing Microsoft Silverlight applications, including an interactive designer.	इसमें एक इंटरैक्टिव डिजाइनर सहित माइक्रोसॉफ्ट सिल्वरलाइट अनुप्रयोगों को विकसित करने के लिए एकीकृत समर्थन है।	[95, 95, 79, 77]	86.5	[0.539888771918306, 0.6254510232064127, 0.6335410028315023, 0.24185739547268623]	0.5101845483572268
1147	The other teams are not awarded any prize money.	अन्य टीमों को कोई पुरस्कार राशि नहीं दी जाती है।	[100, 95, 78, 88]	90.25	[0.953687239391003, 0.6254510232064127, 0.5300912601311706, 1.2732607766975914]	0.8456225748565445
1148	Since the Baháʼí Faith has no clergy, converts are encouraged to be active in all aspects of community life.	चूंकि बहिलीयन लोगों के विश्वास में कोई पादरी नहीं है, इसलिए धर्मांतरित लोगों को सामुदायिक जीवन के सभी पहलुओं में सक्रिय होने के लिए प्रोत्साहित किया जाता है।	[60, 60, 50, 51]	55.25	[-2.356700500390573, -2.3042579987722354, -2.3665015354781143, -2.1960051419679987]	-2.3058662941522305
